sentence,char_count,token_count
ཨ་དཔའུ་ཟེར་མི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཨོམ་གྱི་ཚད་གཞི་དེ་ གླུ་དབྱངས དགེ་ལེགས་ཕུག་རྒེད་འོག་དང་ ན་གཞོན་ཚུ་ལུ་ལཱ་གཡོག་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབཟའ་ཚང་ཆུང་བའི་སྡེ་ཚན་དང་ དབྱེ་ཞིབ སེམས་ཤུགས་བསྐྱེད་དོ་ཡོདཔ་ཨིན་པས།,207,51
ཨ་དཔའུ་ཟེར་མི་ འབད་སྤྱོད་ཐོག་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདགེ་ལེགས་ཕུག་རྒེད་འོག་དང་ འབྲུག་པ ན་གཞོན་ཚུ་ལུ་ལཱ་གཡོག་ འདས་པའི་ཟླཝ་༦ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསེམས་ཤུགས་བསྐྱེད་དོ་ཡོདཔ་ཨིན་པས།,180,44
གཞུང་གི་ དམིགས་བསལ་ལས་འགུལ་གྱིས་ ཕུན་ཚོགས་གླིང་ལུ་ བསྐྱར་གསོ་འབད་ཚུགས་ནི།,73,16
བར་ཆད་བྱུང་ཡོདཔ་ད་ བསོད་ནམས་ རྩོལ་སྒྲུབ་དེ་གིས་ ལག་ལེན་གྲུབ་འབྲས་ཅན་སྦེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ ལས་རིམ་ཚུ་ལེགས་ལྡན་བྱུང་བའི་ གཡག སོང་ཡོདཔ་ཨིན་པས།,147,36
ལས་རིམ་དེ་གིས་ འཛུལ་སྒོའི་ཁྲོམ་ཡུན་བརྟན་ཅན་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལརྩོལ་སྒྲུབ་དེ་གིས་ བསོད་ནམས་ ལག་ལེན་གྲུབ་འབྲས་ཅན་སྦེ་ ལས་སྡེ་སོ་སོ་ཚུ་ནང་ལས་འོང་ནི་ཨིན་མི་དེ་ཡང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསོང་ཡོདཔ་ཨིན་པས།,205,51
མི་མང་གི་ས་ཁོངས་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབར་འཛུལ་འབད་ནི་ཚུ་ཡང་ གནམ་འདུས་བཞིན་དུ འབྲེལ་གནད་ཅན་དང་ ནད་ཡམས་ལུ་བརྟེན་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཁྲོམ་དེ་ལུང་ཕྱོགས་ཀྱི་བརྗོད་དོན་ཐོག་ འབྲུག་འཕྲིན་གླིང་ ལྷན་གྲོགས་འབད་འོང་ཟེར་ཨིན་པས།,225,54
མི་མང་གི་ས་ཁོངས་ཚུ་ གཞི་བཀོད་གདོང་ལེན་ཚུ་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའབྲེལ་གནད་ཅན་དང་ འབྲུག་འཕྲིན་གླིང་ ནད་ཡམས་ལུ་བརྟེན་ རྒྱལ་ཁབ་གསུམ་པའི་ཚོང་འབྲེལ་ཚུ་ཡོདཔ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལྷན་གྲོགས་འབད་འོང་ཟེར་ཨིན་པས།,212,51
འབྲེལ་གཏུགས་འབད་དོ་ཡོད་མི་དེ་ཡང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཚོང་འབྲེལ་གྱི་གདོང་ལེན་སྦོམ་བྱུང་མི་དང་ ཐིམ་ཕུ དཔལ་འབྱོར་ཚུ་ག་ར་ ཕུན་ཚོགས་གླིང་གི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལཱ་འབད་དགོཔ་ཡོད་མི་ཚུ་ གཤེས་ཚན ལུས་མི་ལུ་བརྟེན་ཨིན་པས།,218,54
འབྲེལ་གཏུགས་འབད་དོ་ཡོད་མི་དེ་ཡང་ ལྷན་རྒྱས་གཞུང་ཚོགས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ དཔལ་འབྱོར་ཚུ་ག་ར་ འགོད་རིམ ཕུན་ཚོགས་གླིང་གི་ འཕྲལ་མཁོ་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལལུས་མི་ལུ་བརྟེན་ཨིན་པས།,183,45
ལ་མཐོ་སའི་ ས་གནས་ནང་ ན་གཞོན་ཅིག་གིས་ མངར་ཟས་ཀྱི་ ཚོང་འབྲེལ་འཐབ་ནི་ འགོ་བཙུགས་ཡོདཔ།,82,20
༉ སྐྱེས་ལོ་༢༨ ལང་མི་ ཕུར་པ་སྒྲོལ་མ་གིས་ ཆུ་ཁ་ལུ་ ལཱ་གཡོག་ནང་སྡོད་པའི་ཤུལ་ལུ་ ལཱ་གཡོག་བཤོལ་བཞག་སྟེ་ མོ་རའི་གཡུས་ མེ་རག་ལུ་འགྱོཝ་ད་ མོ་གིས་ ཐབས་བྱུས་གནས་སྐབས་ ཁ་ཟས་དང་ བག་ལེབ་བཟོ་ཐབས་ལྷབ་སྟེ་ མི་སྡེའི་ནང་སོང་ཡོདཔ་ཨིན་པས།,218,56
མ་འོངས་པའི་ནང་འབད་བ་ཅིན་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལམོ་གིས་ འབྲུག ང་རའི་རིག་རྩལ་ཚུ་གོང་འཕེལ་བཏང་སྟེ་ ཐོན་སྐྱེད་ཆུང་སུ་སྦེ་བཟོ་མི་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལམོ་གི་ཕྱེ་བསྣད་ཐངས་ཚུ་ ཆེད་གཞི ཐོབ་དོ་ཡོདཔ་སྦེ་ཨིན་པས།,209,53
མ་འོངས་པའི་ནང་འབད་བ་ཅིན་ མོ་ར་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལང་རའི་རིག་རྩལ་ཚུ་གོང་འཕེལ་བཏང་སྟེ་ དགེ་འདུན་པ ཐོན་སྐྱེད་ཆུང་སུ་སྦེ་བཟོ་མི་གིས་ ང་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཐོབ་དོ་ཡོདཔ་སྦེ་ཨིན་པས།,188,49
"མོ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལམཐོ་ཚད་མི་ཊར་༣,༥༠༠ སྟག་ཚང སྤུས་ཚད་ལྡན་པའི་ ངེ་གི་མནོ་བསམ་ལས་འབད་བ་ཅིན་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཁོང་གིས་ སངས་རྒྱས་ཆོས འཆར་གཞི་ཡོདཔ་ཨིན་པས།",169,43
མོ་གིས་ འབད་མི་དེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྤུས་ཚད་ལྡན་པའི་ དབྱེ་གཞི ངེ་གི་མནོ་བསམ་ལས་འབད་བ་ཅིན་ དམའ་སུ་སྦེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའཆར་གཞི་ཡོདཔ་ཨིན་པས།,153,39
རྒྱ་མཚོའི་མཐའམ་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགདོང་ལེན་ཚུ་ཡོད་དེ་འབད་རུང་ དགོན་པ གདོང་ལེན་གཞན་དང་གཞན་ཡང་ མཁོ་འདོད་བཀོད་དོ་ཡོདཔ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ ཧེ་མ་ཚུན་ལུ་ ཕྱུག་མ མི་སྡེའི་ནང་སོང་ཡོདཔ་ཨིན་པས།,200,51
རྒྱ་མཚོའི་མཐའམ་ལས་ ལཱ་གཡོག་བཤོལ་བཞག་སྟེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ གདོང་ལེན་གཞན་དང་གཞན་ཡང་ བདེ་ཐང་དཀར་ཆགས མཁོ་འདོད་བཀོད་དོ་ཡོདཔ་ད་ ཕྱི་ཁའི་བཀྲམ་སྤེལ་འབད་མི་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལམི་སྡེའི་ནང་སོང་ཡོདཔ་ཨིན་པས།,211,52
ག་ཅི་ནང་ལུ་ བདུན་ཕྲག་གཅིག་གི་རིང་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ,61,17
ཁྲོམ་ཁར་སྡོད་མི་ཚུ་ལུ་ ཁང་གླ་ཡར་སེང་དང་ སྡོད་ཁྱིམ་ལང་མ་ཚུགས་པའི་ དཀའ་ངལ་དང་གདོང་ལེན།,84,22
བྱ་རིམ་དེ་ སངས་རྒྱས་ཆོས གྱི་བར་ན་སླབ་དོ་ཡོདཔ་ད་ དེ་ཁར་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ ལུས་ཡོདཔ་སྦེ་ཨིན་པས།,100,27
འདི་བཟུམ་གྱི་བྱ་སྟབས་མ་བདེ་བའི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགཞུང་གི་ཁ་ཐུག་ལས་འབད་རུང་ བདེ་སྨིན གཞི་བཀོད་དང་ ཡར་སེང་འབད་དོ་ཡོདཔ་བཞིན་དུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདཀའ་ངལ་དང་གདོང་ལེན་ཚུ་ འཆར་སྤྱོད སླབ་མ་བཏུབ་ཨིན་པས།,207,52
འདི་བཟུམ་གྱི་བྱ་སྟབས་མ་བདེ་བའི་ འདི་གིས་འབདཝ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ གཞི་བཀོད་དང་ ཆོས་ལྡན་ ཡར་སེང་འབད་དོ་ཡོདཔ་བཞིན་དུ་ སྐྱེལ་འདྲེན་འགོ་དཔོན་གྱིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསླབ་མ་བཏུབ་ཨིན་པས།,192,47
འདི་བཟུམ་གྱི་བྱ་སྟབས་མ་བདེ་བའི་ འཆར་སྤྱོད འདི་གིས་འབདཝ་ད་ བར་འཛུལ་འབད་ནི་དེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཡར་སེང་འབད་དོ་ཡོདཔ་བཞིན་དུ་ རྒྱུ་དཀའ།,138,34
ཁྲོམ་སྦོམ་འབད་མི་ཚུ་ཡང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདེ་ཅིག་ རྒྱུ་དཀའ།,65,16
ཁང་གླ་མཐོ་ཤོས་སྦེ་ལྷོད་དེ་ཡོདཔ་ད་ ཟླ་རིམ་གྱི་དངུལ་ཕོགས་དམའ་ཤོས་ཐོབ་མི་དང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྤ་རོ་ བདེ་ཐང་དཀར་ཆགས གནས་ཏེ་ཡོདཔ་ཨིན་པས།,139,36
ཁྲོམ་སྦོམ་འབད་མི་ཚུ་ཡང་ ཕྱིས་ཏེ་ལུས་དོ་ཡོདཔ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ ཁང་གླ་མཐོ་ཤོས་སྦེ་ལྷོད་དེ་ཡོདཔ་ད་ ཨེ་མ་དར་ཚི ཟླ་རིམ་གྱི་དངུལ་ཕོགས་དམའ་ཤོས་ཐོབ་མི་དང་ ཁོང་རའི་དམིགས་ཡུལ་འགྲུབ་ནི་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལགནས་ཏེ་ཡོདཔ་ཨིན་པས།,231,60
དབྱར་རྩྭ་དགུན་འབུབ་འཐུ་ནིའི་དུས་ཚོད་རནམ་ལས་ ལ་མཐོ་སའི་ས་ཁོངས་ནང་ ཕན་ཚུན་གྱི་ རྩོད་རྙོག་བྱུང་དོ་ཡོདཔ།,100,24
འབྲུག་མཁའ་འགྲུལ་ལུ་ མཆོད་རྟེན ཁོང་ཆ་ཁྱབ་ལོག་བཏང་ཡོདཔ་སྦེ་ཨིན་པས།,64,15
འབྲུག་རྒྱལ་ཁབ་ནང་ ཉེན་བརྡ་འབད་མིའི་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ གཞན་ལུ་ རི་མོ འབུབ་བསྡུ་བསྒྱོམ་འགོ་མ་བཙུགསཔ་ལས་དང་ ས་གནས་ནང་སྡོད་མི་ཚུ་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཁོང་ཆ་ཁྱབ་ལོག་བཏང་ཡོདཔ་སྦེ་ཨིན་པས།,197,50
ད་རུང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདགའ་ས་ ལས་བཟོ ཐོན་ཁུངས་ལུ་ཉེན་ཁ་ཡོདཔ་ལས་ རྒེད་འོག་གཞན་ཁའི་མི་སྡེ་གིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ ཀོ་བདག་ཚུ་ཨིནམ་ད་ འབད་དགོས་ སྙན་ཞུ་འབད་ཡོདཔ་སྦེ་ཨིན་པས།,181,47
ད་རུང་ ལུང་ནག་ནང་ལུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཐོན་ཁུངས་ལུ་ཉེན་ཁ་ཡོདཔ་ལས་ གཞུང་རྒྱུན རྒེད་འོག་གཞན་ཁའི་མི་སྡེ་གིས་ ལུང་ནག་ནང་གི་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྙན་ཞུ་འབད་ཡོདཔ་སྦེ་ཨིན་པས།,177,45
ཚེ་རིང་དབང་འདུས།,16,4
བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཚར་རེ་ལེགས་ཤོམ་འོང་དོ་ཡོདཔ་སྦེ་ཨིནམ་ད་ བཀྲ་ཤིས ཧམ་འཛུལ་འབད་མི་ཚུ་ ཤི་རྐྱེན་བྱུང་ཡོདཔ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའབད་མི་ཅིག་གིས་ སངས་རྒྱས་ཆོས བསྡུ་བསྒྱོམ་འབད་ཆོགཔ་ཨིན་པའི་གནས་ཚུལ།,202,49
ལཱ་ཚུ་འབད་དགོཔ་ཡོདཔ་ལས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ ཧམ་འཛུལ་འབད་མི་ཚུ་ གཞི་འཛུགས ཤི་རྐྱེན་བྱུང་ཡོདཔ་ད་ ཧམ་འཛུལ་འབད་མི་ཚུ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ,143,37
རྒྱ་འབྲུག་མཐུན་འབྲེལ་རིག་རྩལ་འགྲན་བསྡུར་༢༠༢༦ ནང་ལས་ མུ་ཏིག་ཐང་སློབ་གྲྭ་གིས་ རྒྱལ་ཁ་ཐོབ་ཡོདཔ།,92,21
རིག་རྩལ་འགྲན་བསྡུར་དེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ སྡེ་ཚན་དྲུག་གིས་ རྡོ་རྗེ པའི་ཚེས་༢༤ རྒྱལ་ཁ་ཐོབ་ཡོདཔ་ད་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལའགོ་འདྲེན་འཐབ་ཡོདཔ་ད་ འབྲས ནང་བཅའ་མར་གཏོགས་ཡོདཔ་ཨིན་པས།,182,45
རིག་རྩལ་འགྲན་བསྡུར་དེ་ དམག་སྲིད་བིམ་བུ་ཤཱང་ཀར་གྱིས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཔའི་ཚེས་༢༤ དུས་ཆེན རྒྱལ་ཁ་ཐོབ་ཡོདཔ་ད་ རིག་རྩལ་གོང་འཕེལ་བློན་པོ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལནང་བཅའ་མར་གཏོགས་ཡོདཔ་ཨིན་པས།,192,47
སྤུ་ན་གཙང་ཆུ་གློག་མེ་ལས་འགུལ་༢ པའི་ སྤྱོད་འཐུས་རུ་པི་༥.༡༠ གུ་ལུ་ ཡར་སེང་འབད་ཡོདཔ།,81,21
"༉ སྤུ་ན་གཙང་ཆུ་གློག་མེ་ལས་འགུལ་༢ པ་ ནུས་ཤུགས་མེ་ག་ཝཊ་༡,༠༢༠ འབད་མི་ སྤྱོད་འཐུས་ཀྱི་ཚོང་འབྲེལ་ནང་ ཡུ་ནིཊ་རེ་ལུ་ རྒྱ་གར་གྱི་རུ་པི་༥.༡༠ གུ་ལུ་ ཡར་སེང་འབད་ནི་ལུ་ མཐའ་བཅད་སོང་ཡོདཔ་ཨིན་པས།",181,48
སྤྱོད་འཐུས་དེ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ ཐོན་སྐྱེད་འབད་ཚུགས་པའི་རེ་བ་བསྐྱེད་དོ་ཡོདཔ་ད་ གཤེས་ཚན དོ་འགྲན་འབྱུང་དོ་ཡོད་མི་ཚུ་ རྒྱུན་སྐྱོང་ཟད་འཐུས་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཡར་སེང་འབད་དོ་ཡོདཔ་བཞིན་དུ་ མཆོད་རྟེན བསལ་ཚུགས་ནི་ཨིན་པས།,224,54
སྤྱོད་འཐུས་དེ་ སྤྱི་ལོ་༢༠༢༥ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལདོ་འགྲན་འབྱུང་དོ་ཡོད་མི་ཚུ་ རྫོང་ཁ རྒྱུན་སྐྱོང་ཟད་འཐུས་ ལོ་ལྔ་རེ་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལབསལ་ཚུགས་ནི་ཨིན་པས།,164,40
བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ སྦྱོང་བརྡར་ གོ སྤྱོད་འཐུས་དེ་གིས་ ཁྲོམ་ཚོགས་བློན་པོ་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལཧེ་མའི་སྤྱོད་འཐུས་གུ་ལུ་ འགོད་རིམ རྒྱལ་ཁབ་ནང་་འོང་ཡོདཔ་ཨིན་པའི་གནས་ཚུལ།,173,41
པའི་ཚེས་༡༩ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལསྤྱོད་འཐུས་དེ་གིས་ སྤ་རོ ཁྲོམ་ཚོགས་བློན་པོ་ བཤད་མིའི་ནང་ བརྡ་ལམ་གྱི་ནང་དུ་གནས་ཚུལ,116,29
སྣུམ་འཁོར་ཇོ་བདག་གི་མིང་ཐོ་སྤོ་སོར་འབད་མི་ མང་སུ་ཐོན་ཡོདཔ།,58,15
༉ འབྲུག་བཟོ་སྐྲུན་དང་སྐྱེལ་འདྲེན་དབང་འཛིན་གྱིས་ སྤྱི་ཟླ་༡ པའི་ཚེས་༡ ལས་འགོ་བཙུགས་ སྤྱི་ཟླ་༦ པའི་ཚེས་༣༠ ཚུན་ སྣུམ་འཁོར་ཇོ་བདག་མིང་ཐོ་སྤོ་སོར་གྱི་ མཐུན་རྐྱེན་བྱིན་མི་ལུ་བརྟེན་ མིང་སྤོ་སོར་འབད་མི་ ལེ་ཤ་ཐོན་ཡོདཔ་ཨིན་པས།,215,52
"དུས་ཅི་ སྤྱི་ཟླ་༡ པ་ལས་ ཟླ་༤ པའི་ནང་འཁོད་ལུ་ སྣུམ་འཁོར་ཇོ་བདག་གི་ མིང་ཐོ་སྤོ་སོར་འབད་མི་༩,༥༠༠ ཐོན་ཡོདཔ་ད་ ལོ་གཅིག་གི་ནང་འཁོད་ལུ་ མིང་ཐོ་སྤོ་སོར་འབད་མིའི་གནས་ཐོ་ནང་ ཇོ་བདག་༡༠,༧༥༧ གྱིས་ སྤོ་སོར་འབད་ཡོདཔ་སྦེ་ཨིན་པས།",212,54
དུས་ཡུན་ཟླཝ་༦ གི་ནང་འཁོད་ལུ་ དབང་འཛིན་གྱིས་ སྣུམ་འཁོར་ཇོ་བདག་གི་མིང་ཐོ་སྤོ་སོར་གྱི་ ཐབས་བྱུས་སྣ་ཚོགས་ བཏོན་ཡོདཔ་སྦེ་ཨིན་པས།,123,30
དབང་འཛིན་གྱི་ཁ་ཐུག་ལས་ མིང་ཐོ་སྤོ་སོར་གྱི་ ཁྲལ་རིགས་ཚུ་ལུ་ཡང་ བདེ་སྒྲིག་འབད་ཡོདཔ་ད་ ཧེ་མ་བཟུམ་སྦེ་ ཕབ་ཆག་གི་ཐོག་ལུ་ གནས་སྟངས་ཚུ་ ཁྲིམས་འཛིན་མ་འབད་བར་ བདེ་ཐབས་ཀྱི་གན་ཡིག་དང་བསྟུན་པའི་ ཕབ་ཆག་འབད་བཅུག་མི་ལུ་བརྟེན་ ལེགས་ལྡན་བྱུང་ཡོདཔ་ཨིན་པས།,237,59
ད་ལྟོའི་ ལས་དོན་ནང་འབད་བ་ཅིན་ མིང་ཐོ་སྤོ་སོར་གྱི་ཁྲལ་དེ་ གནས་གོང་ལས་ བརྒྱ་ཆ་གཅིག་གུ་ལུ་ བསྒྱུར་བཅོས་འབད་ཡོདཔ་སྦེ་ཨིན་པས།,120,30
སྣུམ་འཁོར་མིང་ཐོ་སྤོ་སོར་འབདཝ་ད་ མི་ཁུངས་ངོ་སྤྲོད་ལག་ཁྱེར་འདྲ་དང་ རྒྱལ་གཞུང་དངུལ་ལས་དབང་འཛིན་ལས་ ལྟེ་བའི་ཐོ་བཀོད་ཉེན་སྲུང་སྙན་ཞུ་དེ་་ དངུལ་འབྲེལ་གྱི་ངེས་གཏན་དོན་ལུ་དང་ འདི་དང་སྦྲགས་ དགོས་མཁོ་ཅན་གྱི་ཡིག་ཆ་གཞན་གྱི་རིགས་ཚུ་ དགོཔ་ཡོདཔ་སྦེ་ཨིན་པས།,242,58
སྐྱེལ་འདྲེན་དབང་འཛིན་དང་ ཁྲིམས་སྲུང་འགག་པའི་སྣུམ་འཁོར་བརྡ་སྟོན་སྡེ་ཚན་གྱིས་ མཉམ་འབྲེལ་ཐོག་ལས་ སྣུམ་འཁོར་གྱི་མིང་ཐོ་ཚུ་ རང་སོ་གུ་ལུ་ སྤོ་ཡོད་མེད་ ཞིབ་དཔྱད་ཚུ་འབད་དོ་ཡོདཔ་སྦེ་ཨིན་པས།,180,42
